Created At,Screen Name,Tweet Text
Sat Oct 19 22:00:37 +0000 2024,Hayama_Fuka,ラブライブ！ダービー当日！！🪷  ご来場の皆様は足元には気をつけてお越しください⚽️  生の試合観戦も、イベント内容も全部楽しみだ♡  応援も力を抜かず、頑張ります💪 本日はよろしくお願いいたします！  徒町小鈴役　葉山風花🦖
Mon Dec 23 08:23:19 +0000 2024,Hayama_Fuka,#蓮ノ空ファンミDay1参加のみんなへ  みんな短い時間でお話しするっていう流れだったから、ちぇすとー！をする場を設けられずごめんね  その分、よかったらこのポストにみんなのちぇすとを残していってね💪
Mon Oct 21 04:12:12 +0000 2024,Hayama_Fuka,吟子ちゃんお誕生日おめでとう🎂🩵  優しさ、雅やかさ、可愛さ全開の吟子ちゃん！ これからもその素直で素敵な姿を応援させてね📣  素敵な一年になりますように💫   #百生吟子生誕祭2024
Thu Sep 19 01:32:26 +0000 2024,Hayama_Fuka,本日20:30〜With×MEETS🪷✨  「気品」を全力で学びます💪  ぜひご覧ください！！  #With蓮ノ空 #リンクラ
Fri Jul 26 03:25:06 +0000 2024,Hayama_Fuka,こんにちは🌱  ここでみんなが気になっていた 特技のマラソンについて…  学校行事であったマラソン大会で、帰宅部なのに一桁の順位で表彰された事を言っている…  持久走は一周1分〜1分30秒で走るようにしていた…  (´･Д･)」ここだけの話だよ
Tue Aug 06 04:53:04 +0000 2024,Hayama_Fuka,8月6日　火よう日  このあいだふうかがアイス2本たべてた  みちゃった……  ピラフ  #はやまぬい家族にっき
Fri Jun 28 04:13:20 +0000 2024,Hayama_Fuka,6月28日　金よう日  いかちゃんはピラフより先輩なので漢字書けちゃう   #はやまぬい家族にっき https://t.co/TWU7Yqs6HT
Sat Nov 16 11:45:45 +0000 2024,Hayama_Fuka,お疲れ様でした！🎙️🔋🏆 最高に笑顔で最高に楽しかったよ💕  次は…徒町たちの番！！ やりきるぞ〜！ちぇすとー！！
Fri Sep 13 15:20:03 +0000 2024,Hayama_Fuka,せーはす！104更新されました🪷✨  運動会(回)です。スポーツの秋です🍂  DOLLCHESTRAがぜってぇ勝ちます。  #せーはす
Thu Sep 19 12:20:26 +0000 2024,Hayama_Fuka,ご覧いただき誠にありがとうございました🪷  御三方はとても可愛らしく、凛とした佇まいで今後の活躍にとても期待ができます。  皆様、今後ともご声援のほどよろしくお願い申し上げます…………  #With蓮ノ空 #リンクラ
Sun Jul 21 08:27:13 +0000 2024,Hayama_Fuka,7月21日　日曜日  明日からまた1週間がんばろうね〜  はやま  #はやまぬい家族にっき https://t.co/h5EGw32SK7
Mon Dec 16 03:44:22 +0000 2024,Hayama_Fuka,こんはやー🌱  わたくし、ぶどう飴とかいちご飴とかが好きでして… 琥珀糖とかもパリパリで好きです （＾ν＾）  (104期で出かけた時のやつ 📸:ひー) https://t.co/KNHV0AwAVj
Mon Dec 02 12:08:56 +0000 2024,Hayama_Fuka,やっと載せれる〜🧡🩵  ちゅけはいつもガオーポーズ合わせてくれる🐰🦖  ひーはいつもにっこにこで近く来て撮ってくれる👘 https://t.co/g2zcsDIxXF
Sat Dec 07 13:17:50 +0000 2024,Hayama_Fuka,With×MEETSご覧いただきありがとうございました👘🦖🏆  104期生かわいいねぇ〜(´ω`) まだまだ絆を深めていって欲しい🥹  #蓮ノ空　#リンクラ
Mon Oct 07 08:40:20 +0000 2024,Hayama_Fuka,2m  (撮影協力:なすちゃん) https://t.co/jsojogUNzS
Mon Dec 02 03:13:23 +0000 2024,Hayama_Fuka,初めてのぬいも嬉しいし、いつものぬいもちゃんと覚えてるからね🌱 (リスナー＝はやま家のぬい)  たくさんのぬいからのお便り待ってます〜！！  #はやラキ
Mon Nov 25 05:25:34 +0000 2024,Hayama_Fuka,小分けにすみません🙇  今回もフラスタを出して下さったみなさま、ありがとうございました💐 全てしっかり見ております！  ありがたいことに個人宛のものも増えていて、少しでもあなたの心に寄り添えていたのかな？なんて…  引き続き葉山風花をよろしくお願いいたします🕊️
Wed Jul 24 12:10:16 +0000 2024,Hayama_Fuka,こんばんは🌱  2〜4リングのバインダーとそれ専用のノートを探しています🗒️ 自分の足で行けるお店では良いのが見つからず…  大きさは小さいやつ！さっとメモ取る時ぐらいの大きさって言えば伝わる…？  コラージュをしたくて至急探しております！！  おすすめして欲しいです（ ;  ; ）
Thu Oct 31 12:19:13 +0000 2024,Hayama_Fuka,ご覧いただきありがとうございました🪷  Fes×LIVEのコメントやハッシュタグの感想で、『どうなっちゃう？わー！わー！わー！』という感じで盛り上がってましたね♪(´ε｀ )  これからもご声援のほどよろしくお願いいたします！  #With蓮ノ空　#リンクラ
Thu Oct 17 13:09:00 +0000 2024,Hayama_Fuka,詳細はこちらをご覧ください！！↓ https://t.co/hBWqHZ2nIP
Sat Dec 21 14:09:25 +0000 2024,Hayama_Fuka,#はやラキ　第八回ご視聴いただきありがとうございました🌱  関西人やからってボケとツッコミが完璧やと思うな！！！！！！！！！！！！！  基本葉山はツッコミ担当でやらせてもろてます  ﾑｯ(O_O) https://t.co/qLPs5ANmyp
Sat Nov 02 03:56:58 +0000 2024,Hayama_Fuka,"#はやラキ　アカウントフォロワー1,000人超えてる？！✨  このまま伸び伸び行って欲しいところ🌱  今日はついに第一回目の放送日だよ！ (QloveRでの放送です☺︎)  みんな観てね〜！"
Sat Jul 27 12:03:49 +0000 2024,Hayama_Fuka,本日のWith×MEETSもありがとうございました🦖🏆👘  みなさんはこの夏、体調には気をつけてお過ごしくださいね〜☀️  #With蓮ノ空
Tue Oct 01 06:25:24 +0000 2024,Hayama_Fuka,ふうかがディズニーへ行きたいと嘆いている……  その気持ちを引きずったままエピックミッキーをやってた…🖌️  なんか可哀想  ［ギガ］  エピックミッキー、ゲーム内でコンセプトアート見られるのめっちゃ良い😭最高  ［ふうか］  #はやまぬい家族にっき
Fri Dec 13 08:29:12 +0000 2024,Hayama_Fuka,はぁぁぁ！！けろっぴぃぃぃぃぃ！！ 大好きな小鈴と大好きなけろっぴのコラボは私的にとてもとても最高でぇぇぇぇ！！！！  蓮ノ空のこと好き好きクラブのみなさんもチェックしてね〜☑️  #蓮ノ空
Fri Dec 13 11:05:36 +0000 2024,Hayama_Fuka,#せーはす　1年生お料理回です🫕  さてどんな結末が待っているのか…… ﾄﾞｷﾄﾞｷ  ちなみに最近自炊サボってます(　˙-˙　)
